NSPID,volume,psc,px,py,pz
S1018,0.0,nan,nan,nan,nan
S1019,2776.0,0.93722991943359379,38.0,-86.0,-2.0
S1020,0.0,nan,nan,nan,nan
S1022,0.0,nan,nan,nan,nan
S1027,0.0,nan,nan,nan,nan
S1028,0.0,nan,nan,nan,nan
S1029,0.0,nan,nan,nan,nan
S1030,5400.0,1.3824234008789062,30.0,-90.0,2.0
S1032,2584.0,1.1357095336914063,42.0,-74.0,6.0
S1034,0.0,nan,nan,nan,nan
S1035,1152.0,1.1221580505371094,30.0,-90.0,4.0
S1036,768.0,0.97761688232421873,32.0,-90.0,-6.0
S1037,4960.0,1.4089973449707032,36.0,-80.0,0.0
S1038,360.0,0.99202789306640626,38.0,-86.0,6.0
S1039,1488.0,1.6329925537109375,34.0,-90.0,-2.0
S1040,0.0,nan,nan,nan,nan
S1041,0.0,nan,nan,nan,nan
S1043,160.0,0.78291488647460938,44.0,-88.0,-2.0
S1044,216.0,1.4722169494628907,34.0,-84.0,-2.0
S1045,1304.0,1.4965071105957031,42.0,-90.0,-6.0
S1046,472.0,1.2040251922607421,42.0,-92.0,6.0
S1049,880.0,1.7693347167968749,40.0,-84.0,4.0
S1050,792.0,1.3551737976074218,34.0,-82.0,4.0
S1052,928.0,0.94588119506835933,30.0,-92.0,-6.0
S1053,0.0,nan,nan,nan,nan
S1055,0.0,nan,nan,nan,nan
S1056,0.0,nan,nan,nan,nan
S1058,1944.0,1.1906465911865234,34.0,-90.0,-8.0
S1059,3056.0,1.2783411407470704,36.0,-78.0,2.0
S1060,0.0,nan,nan,nan,nan
S1061,0.0,nan,nan,nan,nan
S1064,0.0,nan,nan,nan,nan
S1065,352.0,1.0351557159423828,32.0,-88.0,-2.0
S1066,3904.0,1.2862837219238281,34.0,-80.0,0.0
S1067,2640.0,1.2387169647216796,32.0,-88.0,2.0
S1068,720.0,1.3189984130859376,34.0,-82.0,0.0
S1069,352.0,1.0301244354248047,30.0,-88.0,2.0
S1070,1272.0,0.9487619781494141,38.0,-92.0,2.0
S1071,0.0,nan,nan,nan,nan
S1072,0.0,nan,nan,nan,nan
S1073,0.0,nan,nan,nan,nan
S1074,3176.0,1.3504397583007812,40.0,-84.0,-4.0
S1075,8256.0,1.3188252258300781,38.0,-76.0,2.0
S1076,0.0,nan,nan,nan,nan
S1077,1184.0,1.2519153594970702,42.0,-90.0,2.0
S1078,0.0,nan,nan,nan,nan
S1079,952.0,1.1917408752441405,34.0,-88.0,-2.0
S1082,1744.0,1.3614050292968749,32.0,-82.0,2.0
S1086,2904.0,1.4685261535644532,28.0,-96.0,-2.0
S1087,496.0,1.182315902709961,40.0,-92.0,-10.0
S1088,0.0,nan,nan,nan,nan
S1089,128.0,1.178493423461914,38.0,-92.0,-4.0
S1090,2432.0,1.5121293640136719,30.0,-82.0,2.0
S1091,0.0,nan,nan,nan,nan
S1092,616.0,1.132008056640625,40.0,-86.0,-6.0
S1094,3120.0,1.0196163177490234,32.0,-80.0,-4.0
S1095,2416.0,1.2104501342773437,44.0,-86.0,-4.0
S1096,0.0,nan,nan,nan,nan
S1097,0.0,nan,nan,nan,nan
S1098,1048.0,1.009652099609375,40.0,-90.0,-8.0
S1099,1072.0,1.1850106048583984,32.0,-80.0,0.0
S1100,592.0,1.1394557952880859,30.0,-86.0,0.0
S1103,616.0,0.9502255249023438,42.0,-84.0,6.0
S1104,1632.0,1.2555516815185548,42.0,-88.0,-14.0
S1105,848.0,1.1652578735351562,40.0,-88.0,-2.0
S1106,0.0,nan,nan,nan,nan
S1107,0.0,nan,nan,nan,nan
S1108,3744.0,1.1026186370849609,32.0,-86.0,4.0
S1109,0.0,nan,nan,nan,nan
S1110,3888.0,1.375463104248047,36.0,-92.0,-4.0
S1111,0.0,nan,nan,nan,nan
S1112,1224.0,0.92594528198242188,38.0,-88.0,-8.0
S1113,2024.0,1.244117202758789,42.0,-86.0,-2.0
S1116,1136.0,1.3183740234375001,32.0,-86.0,-2.0
S1118,0.0,nan,nan,nan,nan
S1119,0.0,nan,nan,nan,nan
S1120,1336.0,1.6251484680175781,32.0,-84.0,-2.0
S1121,864.0,1.4148545837402344,38.0,-84.0,4.0
S1122,0.0,nan,nan,nan,nan
S1124,1112.0,1.1724089813232421,32.0,-86.0,0.0
S1125,32.0,1.1961924743652343,36.0,-88.0,-4.0
S1126,968.0,1.1008650970458984,42.0,-90.0,-8.0
S1127,0.0,nan,nan,nan,nan
S1129,592.0,1.2098817443847656,32.0,-86.0,4.0
S1130,536.0,1.2078368377685547,34.0,-82.0,0.0
S1131,344.0,1.2468624114990234,28.0,-94.0,-8.0
S1132,5184.0,1.5120718383789062,24.0,-98.0,-8.0
S1133,1112.0,1.137181167602539,32.0,-82.0,4.0
S1134,1520.0,1.0941980743408204,38.0,-82.0,-2.0
S1135,3792.0,1.0770551300048827,28.0,-86.0,4.0
S1136,0.0,nan,nan,nan,nan
S1138,0.0,nan,nan,nan,nan
S1139,0.0,nan,nan,nan,nan
S1140,0.0,nan,nan,nan,nan
S1141,2296.0,0.96082305908203125,34.0,-80.0,2.0
S1143,0.0,nan,nan,nan,nan
S1144,656.0,1.0244486236572266,36.0,-86.0,-8.0
S1146,72.0,0.99556022644042974,36.0,-92.0,0.0
