NSPID,volume,psc,px,py,pz
S0249,1539.0,0.73795913696289062,34.0,-90.0,-6.0
S0250,21114.0,1.001591339111328,30.0,-92.0,-2.0
S0252,6318.0,0.99936248779296877,34.0,-86.0,10.0
S0256,189.0,0.95907920837402338,32.0,-88.0,-8.0
S0261,0.0,nan,nan,nan,nan
S0262,4455.0,1.033499984741211,40.0,-80.0,-2.0
S0264,5076.0,0.75283638000488284,44.0,-84.0,-8.0
S0265,0.0,nan,nan,nan,nan
S0267,12744.0,0.94976356506347659,30.0,-82.0,2.0
S0268,648.0,0.83434364318847654,40.0,-84.0,-4.0
S0270,0.0,nan,nan,nan,nan
S0271,4806.0,1.2598943328857422,30.0,-98.0,-10.0
S0272,4671.0,1.279862518310547,32.0,-88.0,4.0
S0274,0.0,nan,nan,nan,nan
S0275,1674.0,1.0486356353759765,34.0,-90.0,-4.0
S0277,0.0,nan,nan,nan,nan
S0278,486.0,0.95235885620117189,38.0,-90.0,0.0
S0280,14823.0,0.94390144348144533,32.0,-90.0,-4.0
S0282,2457.0,1.0834679412841797,38.0,-90.0,-4.0
S0283,2700.0,0.98217330932617186,30.0,-82.0,4.0
S0284,729.0,1.0537173461914062,28.0,-92.0,-8.0
S0286,5211.0,0.86957679748535155,34.0,-82.0,-2.0
S0287,2538.0,1.0734444427490235,40.0,-88.0,-8.0
S0288,1377.0,1.1618807220458984,26.0,-86.0,-6.0
S0292,0.0,nan,nan,nan,nan
S0294,0.0,nan,nan,nan,nan
S0295,0.0,nan,nan,nan,nan
S0296,4293.0,2.1817187499999999,46.0,-90.0,-2.0
S0299,1134.0,1.0966880798339844,38.0,-88.0,-8.0
S0302,243.0,1.2918234252929688,34.0,-78.0,0.0
S0303,4887.0,0.97240394592285151,34.0,-90.0,-4.0
S0305,756.0,1.0668598937988281,32.0,-86.0,-4.0
S0308,3429.0,0.76608169555664063,36.0,-78.0,6.0
S0311,0.0,nan,nan,nan,nan
S0312,0.0,nan,nan,nan,nan
S0313,5859.0,1.0471725463867188,34.0,-88.0,-6.0
S0314,648.0,1.1376803588867188,34.0,-82.0,0.0
S0317,11340.0,0.98267745971679688,34.0,-92.0,-2.0
S0318,0.0,nan,nan,nan,nan
S0322,0.0,nan,nan,nan,nan
S0323,5994.0,0.81928092956542964,36.0,-88.0,-10.0
S0324,594.0,1.4915243530273437,32.0,-80.0,4.0
S0325,7047.0,1.375736846923828,30.0,-84.0,0.0
S0327,5535.0,0.98961822509765629,42.0,-86.0,-8.0
S0328,9072.0,1.4489564514160156,42.0,-80.0,-2.0
S0329,1107.0,1.1298656463623047,34.0,-84.0,-2.0
S0330,11799.0,1.2887313842773438,36.0,-88.0,4.0
S0332,1647.0,1.2023532104492187,32.0,-90.0,0.0
S0334,0.0,nan,nan,nan,nan
S0335,216.0,0.85137847900390629,44.0,-88.0,2.0
S0337,0.0,nan,nan,nan,nan
S0338,1485.0,1.0733837127685546,26.0,-92.0,-6.0
S0342,1080.0,0.93639968872070312,36.0,-94.0,-8.0
