NSPID,volume,psc,px,py,pz
S0181,192.0,0.88661437988281255,-40.0,-66.0,8.0
S0182,2096.0,1.4463769531249999,-48.0,-72.0,2.0
S0183,2768.0,1.424488525390625,-50.0,-68.0,10.0
S0184,4072.0,0.87922370910644532,-48.0,-68.0,4.0
S0185,640.0,1.4966249084472656,-42.0,-82.0,12.0
S0186,5008.0,1.3564955139160155,-42.0,-76.0,4.0
S0187,2456.0,0.97530006408691405,-40.0,-74.0,4.0
S0190,1584.0,1.193122329711914,-42.0,-72.0,0.0
S0191,7416.0,1.2762843322753907,-50.0,-74.0,12.0
S0192,3744.0,1.1178780364990235,-48.0,-74.0,6.0
S0193,3904.0,1.149878921508789,-38.0,-76.0,2.0
S0194,896.0,1.1479191589355469,-36.0,-80.0,8.0
S0195,1384.0,1.0388753509521484,-44.0,-72.0,2.0
S0196,0.0,nan,nan,nan,nan
S0197,1088.0,0.8091865539550781,-56.0,-72.0,4.0
S0199,696.0,1.262743911743164,-50.0,-72.0,8.0
S0200,2672.0,0.95188240051269535,-50.0,-74.0,8.0
S0201,1176.0,0.77960159301757814,-40.0,-68.0,2.0
S0203,0.0,nan,nan,nan,nan
S0205,1280.0,1.4933049011230468,-48.0,-68.0,6.0
S0207,272.0,0.97229980468749999,-42.0,-66.0,0.0
S0208,5960.0,1.5667745971679687,-46.0,-70.0,12.0
S0209,2504.0,0.91452148437500003,-40.0,-84.0,4.0
S0213,2176.0,1.248111801147461,-44.0,-72.0,12.0
S0216,8016.0,1.0983029174804688,-44.0,-76.0,6.0
S0217,320.0,1.1960768127441406,-42.0,-72.0,6.0
S0218,1888.0,1.3380706787109375,-38.0,-70.0,4.0
S0219,5120.0,1.4264880371093751,-44.0,-70.0,6.0
S0220,2680.0,1.4817692565917968,-40.0,-64.0,8.0
S0222,4704.0,1.0649359893798829,-42.0,-72.0,4.0
S0225,2560.0,1.0706681060791015,-50.0,-72.0,12.0
S0228,3864.0,1.104466094970703,-42.0,-62.0,8.0
S0229,1704.0,0.95982208251953127,-48.0,-70.0,0.0
S0230,2168.0,0.96218017578125004,-38.0,-72.0,12.0
S0231,4152.0,1.297181396484375,-40.0,-62.0,4.0
S0232,2648.0,1.0559027099609375,-44.0,-74.0,8.0
